year,down-payment,White,Black,Hispanic,Asian
1990,24580,61533,35974,43013,74063
1991,24000,60076,34955,42174,67744
1992,24300,60372,34012,40980,68553
1993,25300,60449,34552,40482,67832
1994,26000,60864,36434,40582,70144
1995,26780,62904,37888,38678,68718
1996,28000,63924,38700,41047,71322
1997,29200,65459,40411,42956,72996
1998,30500,67548,40350,45091,74230
1999,32200,68817,43497,47916,79419
2000,33800,68768,44718,49995,84043
2001,35040,67864,43191,49193,78607
2002,37520,67669,42098,47763,75439
2003,39000,67404,41885,46552,77964
2004,44200,67187,41534,47078,78917
2005,48180,67476,41128,47789,81114
2006,49300,67467,41353,48623,82237
2007,49580,68731,42664,48406,82442
2008,46420,66924,41392,45692,79020
2009,43340,65865,39608,46004,78699
2010,44360,64794,38258,44772,75582
2011,45440,63912,37331,44549,74965
2012,49040,64391,38084,44055,77010
2013,53780,64854,38704,45592,80661
2014,57700,67146,39021,44171,81897
2015,58840,65948,40646,46505,83867
2016,61560,68778,43217,49328,87180
2017,64620,70157,42865,51425,85491
2018,65280,72005,42977,52974,89491
2019,64300,72820,46648,53036,98363
2020,67380,78912,48175,58015,99622
2021,79420,77999,48297,57981,101418